name,code,lines,opening_year,latitude,longitude
Jurong Town Hall,JE6,JR,2028,,
Jurong West,JS6,JR,2028,,
Keppel,CC30,CC,2026,,
Loyang,CR3,CR,2030,,
Maju,CR16,CR,2032,,
Nanyang Crescent,JW4,JR,2029,,
Nanyang Gateway,JW3,JR,2029,,
Pandan Reservoir,JE7,JR,2028,,
Pasir Ris East,CR4,CR,2030,,
Peng Kang Hill,JW5,JR,2029,,
Prince Edward Road,CC32,CC,2026,,
Riviera,CP3,CR,2032,,
Serangoon North,CR9,CR,2030,,
Sungei Bedok,DT37,DT|TE,2026,,
Tampines North,CR6,CR,2030,,
Tavistock,CR10,CR,2030,,
Tawas,JW2,JR,2028,,
Teck Ghee,CR12,CR,2030,,
Tengah,JS3,JR,2028,,
Tengah Park,JE2,JR,2028,,
Tengah Plantation,JE1,JR,2028,,
Toh Guan,JE4,JR,2028,,
Tukang,JS10,JR,2029,,
Turf City,CR14,CR,2032,,
West Coast,CR18,CR|JR,2032,,
Xilin,DT36,DT,2026,,
Brickland,NS3,NS,2034,,
Changi Terminal 5,TE32,TE|CR,,,
DE1,DE1,DT,2035,,
JS2A,JS2,JR,,,
Sungei Kadut,NS6,NS|DT,2035,,
